product_category,25%,75%
Aircon/dehumidifier,3.0,10.0
Battery/charger/adapter,3.0,10.0
Coffee maker,3.0,9.0
DSLR/video camera,8.0,22.75
Decorative or safety lights,3.0,12.0
Desktop computer,5.0,12.0
Digital compact camera,5.0,13.0
Fan,3.0,11.0
Flat screen,5.0,10.0
Food processor,4.0,17.0
Games console,4.0,15.0
Hair & beauty item,3.0,10.0
Hair dryer,4.0,12.0
Handheld entertainment device,5.0,20.0
Headphones,2.0,6.0
Hi-Fi integrated,9.0,25.0
Hi-Fi separates,8.0,29.0
Iron,4.0,10.0
Kettle,3.0,8.0
Lamp,5.0,23.0
Laptop,4.0,10.0
Large home electrical,4.0,12.0
Misc,3.25,12.0
Mobile,2.0,5.0
Musical instrument,5.0,27.5
PC accessory,3.0,10.0
Paper shredder,3.0,10.0
Portable radio,6.0,23.0
Power tool,4.0,13.0
Printer/scanner,4.0,10.0
Projector,10.0,47.0
Sewing machine,10.0,40.0
Small home electrical,3.0,12.0
Small kitchen item,3.0,11.0
TV and gaming-related accessories,6.0,16.0
Tablet,3.0,8.0
Toaster,4.0,11.0
Toy,2.0,15.0
Vacuum,4.0,10.0
Watch/clock,6.0,42.0
