year_of_manufacture,Accessories,Audio,Climate Control,Computers,Entertainment,Home & DIY,Home Appliances,Kitchen Appliances,Lighting,Music,Office Equipment,Other,Personal Care,Phones & Tablets,Photography,Toys & Games,Wearables
1884.0,,,,,,,,,,,,,,,,,2.0
1890.0,,,,,,,,,,,,,,,,,3.0
1901.0,,1.0,2.0,2.0,,2.0,1.75,3.0,3.0,,,,,,,,
1902.0,,,,,,1.0,,,,,,,,,,,
1903.0,,,,,,,2.0,,3.0,,,,,,,,2.0
1904.0,,,,,,,,,,,,,,,,,3.0
1905.0,,3.0,,,,,,,,,,,,,,,
1909.0,,,,,,,,,,,,,,,,,3.0
1910.0,,,,,,3.0,,,3.0,,,,,,1.0,,2.7777777777777777
1912.0,,,,,,,3.0,,,,,,,,,,
1915.0,,,,,,,,3.0,1.0,,,,,,,,
1918.0,,,,,,,,,1.0,,,,1.0,,,,2.0
1919.0,,,,,,3.0,,,3.0,,,,,,,,1.5
1920.0,,2.0,,,,3.0,2.0,,3.0,,3.0,,,,2.0,,2.2903225806451615
1921.0,,3.0,,,,2.5,,,2.0,,3.0,,,,,,3.0
1922.0,,2.0,,,,3.0,,2.0,3.0,,,,,,,,2.6666666666666665
1923.0,,2.5,,,,1.0,,,2.8,,,,,,,,2.6666666666666665
1924.0,,2.0,,,,,1.0,,2.75,,,,,,,,2.625
1925.0,,,,,,,,,1.0,,,,,,,,2.75
1927.0,,,,,,,,,,,,,,,,,3.0
1928.0,,3.0,,,,,,,,,,,,,,,
1929.0,,,,,,,,,,,,,,,,,3.0
1930.0,,1.5,,,,2.6666666666666665,3.0,2.0,2.6470588235294117,,,,,,,,2.225
1931.0,3.0,,,,,,,,,,,,,,,,
1932.0,,2.0,,,,3.0,,,3.0,,,,,,,,
1933.0,,,,,,,,,3.0,,,,,,,,2.25
1934.0,,,,,,3.0,2.0,,2.5,,,,,,,,
1935.0,,,,,,3.0,2.0,,3.0,,,,,,,,2.3333333333333335
1936.0,,1.0,,,,,,,2.0,,,,,,,,1.0
1937.0,,3.0,,,,,,,2.5,,,,,,,,
1938.0,,,,,,,,3.0,2.5,,,,,,,2.0,
1939.0,,,,,,,1.0,,3.0,,,,,,,,2.3333333333333335
1940.0,,1.6666666666666667,,,,2.6666666666666665,2.3333333333333335,,2.923076923076923,1.0,3.0,,,,,,2.5
1941.0,,,,,,,,,3.0,,,,,,,,
1942.0,,,,,,,2.0,3.0,2.0,,,,,,,3.0,2.0
1943.0,,2.0,,,,3.0,3.0,,2.6666666666666665,,,,,,,,3.0
1944.0,,,,,,2.5,2.5,,2.25,,,,,,,,3.0
1945.0,,1.5,,,,3.0,,2.0,,,,,,,,,2.3333333333333335
1946.0,,,,,,,,,3.0,,,,,,,3.0,3.0
1947.0,,3.0,,,,,,,,,,,,,,,
