Problem,Category,Confidence Score
Fhlermeldung: Speicher ist voll.,Incorrect Assembly,0.1386791318655014
Hilfe bei Bedienung.,Lubrication/Maintenance Needed,0.0649423748254776
Beratungsbedarf.,Physical/Structural Damage,0.06816520541906357
Beratungsbedarf.,Physical/Structural Damage,0.06816520541906357
Beratungsbedarf.,Physical/Structural Damage,0.06816520541906357
"Akku wird in Ladestation nicht geladen. Vermutlich Unterbrechung an RJ12-Stecker vom Netzteil, Fortsetzung vorgesehen.",Unsafe to Use,0.2502132058143616
reagiert nicht mehr.,Unknown/Unspecified Problem,0.09052115678787231
Schnappmechanismus kaputt.,Mechanical Blockage in Moving Parts,0.10263444483280182
keine Funktion nach Sturz. - Akku noch in Ordnung - Prozessor wird heiß.,Unknown/Unspecified Problem,0.10117065906524658
Bildschirm wechseln.,Physical/Structural Damage,0.05495024845004082
"F: Datensicherung. Der Besitzer hat einige Schrauben vergessen, die zur Funktion notwendig sind. Die Reparatur wird an einem anderen Termin fortgesetzt.",Missing Parts,0.45776110887527466
Wackelkontakt Ladebuchse.,Remote Control or Signal Transmission Issue,0.12916626036167145
Display defekt.,Unsafe to Use,0.1689465492963791
Lädt zu langsam.,Leaking,0.07924281060695648
"0,125 kg, Akku defekt - wird nicht mehr geladen.",Wear and Tear/End of Life,0.19305624067783356
Wackelkontakt.,Remote Control or Signal Transmission Issue,0.1553703397512436
Bei Anmeldung helfen.,Alignment/Calibration Issues,0.09843175858259201
Bitte bei Aufladung helfen.,Lubrication/Maintenance Needed,0.10211673378944397
Einscannen zeigen.,Incorrect Assembly,0.2053745687007904
Lädt schlecht und langsam.,Wear and Tear/End of Life,0.07287319004535675
Einstellungen.,Aesthetic Issues,0.07853572070598602
Einstellungen.,Aesthetic Issues,0.07853572070598602
akku wird getauscht.,Incorrect Assembly,0.1637861579656601
"Geht nicht mehr an, aus zwei mach eins. Das Ersatzteil-Handy hat einen Kurzschluss über den Akku-Kontakten. Nach Reinigung der Federkontakte zur Tastaturplatine und konzentriertem Druck auf die Kontakte ließ sich das Handy einschalten. Ohne SIM-Karte konnen wir nicht weiter testen. Beim nächten Mal geht es weiter.",Missing Parts,0.11259397864341736
Einstellungen erklärt.,Lubrication/Maintenance Needed,0.06470628082752228
Akku und Ladebuchsen-Leiterplatte wurden bereits vom Gast gewechselt. Dennoch reagiert das Smartphone nicht. Sowohl die Akku- als auch die USB-Spannung kommen auf dem Mainboard an. Dennoch reagiert das Gerät nicht mehr. Ein Fehler konnte nicht gefunden werden.,Missing Parts,0.24760764837265015
"Akku lädt meist nicht. Drücken am USB-Stecker konnte manchmal die Verbindung wiederherstellen. Eine neue Leiterplatte mit USB-Buchse wurde eingesetzt und ein zu stark geknicktes Flex-Kabel, welches ebenfalls Ladeprobleme verursachte, wurde ausgetauscht. Nun funktioniert das Laden wieder einwandfrei.",Missing Parts,0.14724047482013702
Läßt sich nicht mehr einschalten.,Missing Parts,0.17288339138031006
Gerät läßt sich nicht mehr einschlaten.,Missing Parts,0.20430482923984528
Speicherkarte defekt. Speicherkarte kann nicht geprüft werden ohne Datenverlust.,Unsafe to Use,0.14253538846969604
"Betriebssystem aktualisieren. Betriebssystem veraltet, nichts mehr möglich.",Unknown/Unspecified Problem,0.07326523214578629
Anzeige Problem auf Display.,Aesthetic Issues,0.45918652415275574
Batterie falsch eingelegt.,Missing Parts,0.1857324093580246
"Einschalttaste geht nicht. Aufgeschraubt, getestet, ging, nicht wieder zusammen gebaut bekommen.",Missing Parts,0.24941416084766388
Power-Taste sporadische Fehlfunktion. Hängt teilweise fest. On-Off-Cycle des Todes war die Folge. Der Gast hat eine neue Flexplatine mit Tastern versorgt. Zusammen haben wir das Handy geöffnet und die neue flatfex PCB verbaut.,Wear and Tear/End of Life,0.20681734383106232
"lädt nicht mehr &gt;&gt; Ladegerät i.O., aber Gerät nicht zu öffnen.",Unsafe to Use,0.19201788306236267
keine Verbindung zur Basis.,Incorrect Assembly,0.05595545843243599
keine Funktion.,Unknown/Unspecified Problem,0.07817072421312332
"""hängt""",Incorrect Assembly,0.06455662846565247
App funktioniert nicht.,Incorrect Assembly,0.26411083340644836
Bitte einstellen.,Wear and Tear/End of Life,0.11025938391685486
Hilfe bei der Auswahl einer passenden Speicherkarte.,Display/Screen Issues,0.19182731211185455
App fehlt.,Incorrect Assembly,0.36335644125938416
"0,15 kg, funktioniert nicht. Bootloader defekt.",Unknown/Unspecified Problem,0.1289900541305542
Akku alt &gt;&gt; Besucher hat falschen Akku mitgebracht.,Incorrect Assembly,0.5108177065849304
Display gebrochen &gt;&gt; Besucher besorgt neues Display – Nachrep in Hirschau.,Display/Screen Issues,0.21530422568321228
"Mailbox programmieren --- Mailboxnummer eingespeichert, Rufumleitung eingestellt, erklärt.",Incorrect Assembly,0.06682644784450531
"Display tauschen, Ersatzteil wird mitgebracht --- Display getauscht.",Missing Parts,0.1864597350358963
Kamera funktioniert nicht mehr richtig. - Hauptplatine inkl. Kameramodul gewechselt.,Unknown/Unspecified Problem,0.0980188176035881
