,year_of_manufacture,Item too worn out,Lack of equipment,No way to open product,Repair information not available,Spare parts not available,Spare parts too expensive
0,1901,2.0,,,,1.0,
1,1902,1.0,,,,,
2,1910,,,,,1.0,
3,1920,2.0,1.0,,,,
4,1923,,,,1.0,,
5,1930,1.0,2.0,,,,
6,1939,1.0,,,,,
7,1940,,1.0,1.0,,2.0,
8,1944,,,,,1.0,
9,1945,1.0,,,,,
10,1948,,,,,1.0,
11,1950,2.0,3.0,2.0,1.0,1.0,2.0
12,1951,,,,1.0,,
13,1952,,,,,1.0,
14,1953,,,,2.0,2.0,
15,1954,,,,,1.0,
16,1955,1.0,,,,,
17,1957,,,,,,1.0
18,1959,2.0,,,,,
19,1960,5.0,1.0,,,6.0,1.0
20,1961,1.0,,,,1.0,
21,1962,1.0,,,1.0,1.0,
22,1963,,,,,4.0,
23,1964,,,2.0,2.0,2.0,
24,1965,,,,,3.0,1.0
25,1966,,,,,1.0,
26,1967,,1.0,,1.0,,
27,1968,,,,1.0,3.0,
28,1969,,,,1.0,,
29,1970,12.0,3.0,6.0,3.0,5.0,1.0
30,1971,,,2.0,,2.0,
31,1972,3.0,,,1.0,2.0,1.0
32,1973,1.0,1.0,1.0,2.0,6.0,1.0
33,1974,2.0,1.0,1.0,2.0,3.0,
34,1975,3.0,,1.0,,3.0,2.0
35,1976,,,1.0,,,1.0
36,1977,,,,1.0,1.0,
37,1978,1.0,,1.0,1.0,2.0,
38,1979,,,,,6.0,1.0
39,1980,19.0,3.0,5.0,2.0,12.0,2.0
40,1981,1.0,,2.0,4.0,,
41,1982,1.0,1.0,,1.0,6.0,
42,1983,3.0,,,6.0,14.0,3.0
43,1984,1.0,2.0,,2.0,8.0,1.0
44,1985,2.0,1.0,2.0,2.0,3.0,1.0
45,1986,,,1.0,,1.0,
46,1987,1.0,1.0,1.0,,1.0,
47,1988,,,2.0,,5.0,
48,1989,,1.0,,5.0,5.0,2.0
49,1990,26.0,3.0,9.0,4.0,16.0,13.0
50,1991,1.0,,,1.0,4.0,1.0
51,1992,2.0,1.0,1.0,3.0,10.0,
52,1993,2.0,2.0,4.0,5.0,12.0,3.0
53,1994,2.0,1.0,4.0,2.0,11.0,4.0
54,1995,5.0,2.0,2.0,4.0,15.0,8.0
55,1996,1.0,1.0,,,4.0,2.0
56,1997,4.0,,4.0,1.0,12.0,1.0
57,1998,5.0,4.0,5.0,5.0,8.0,3.0
58,1999,6.0,1.0,3.0,3.0,13.0,11.0
59,2000,52.0,13.0,33.0,12.0,52.0,35.0
60,2001,2.0,3.0,6.0,3.0,15.0,4.0
61,2002,14.0,2.0,5.0,5.0,27.0,14.0
62,2003,10.0,1.0,12.0,17.0,31.0,23.0
63,2004,14.0,7.0,18.0,23.0,26.0,17.0
64,2005,19.0,,18.0,7.0,19.0,14.0
65,2006,6.0,2.0,6.0,7.0,14.0,10.0
66,2007,12.0,4.0,12.0,13.0,29.0,13.0
67,2008,19.0,2.0,18.0,15.0,61.0,25.0
68,2009,15.0,15.0,20.0,16.0,53.0,40.0
69,2010,54.0,14.0,50.0,33.0,64.0,73.0
70,2011,15.0,2.0,14.0,14.0,35.0,24.0
71,2012,36.0,19.0,42.0,39.0,79.0,67.0
72,2013,23.0,19.0,51.0,47.0,108.0,91.0
73,2014,30.0,23.0,59.0,41.0,113.0,83.0
74,2015,45.0,18.0,63.0,46.0,84.0,95.0
75,2016,28.0,10.0,55.0,36.0,85.0,81.0
76,2017,27.0,26.0,89.0,63.0,109.0,107.0
77,2018,57.0,30.0,138.0,67.0,180.0,122.0
78,2019,27.0,28.0,107.0,59.0,148.0,128.0
79,2020,27.0,14.0,116.0,55.0,140.0,116.0
80,2021,13.0,20.0,94.0,50.0,113.0,85.0
81,2022,14.0,12.0,61.0,33.0,77.0,42.0
82,2023,4.0,11.0,24.0,16.0,28.0,12.0
83,2024,1.0,1.0,5.0,2.0,6.0,6.0
