broad_category,End of life,Fixed,Repairable,Unknown,total,end_of_life_pct,fixed_pct,repairable_pct,unknown_pct,repaired_or_repairable
Accessories,904,1881,454,162,3401,0.2658041752425757,0.553072625698324,0.13349014995589534,0.04763304910320494,0.6865627756542193
Audio,7480,13664,5543,1125,27812,0.26894865525672373,0.4912987199769884,0.19930245937005608,0.04045016539623184,0.6906011793470445
Climate Control,830,1400,428,158,2816,0.2947443181818182,0.4971590909090909,0.15198863636363635,0.056107954545454544,0.6491477272727273
Computers,3553,8517,4120,744,16934,0.20981457422936106,0.5029526396598559,0.24329750797212707,0.043935278138655956,0.7462501476319829
Entertainment,3025,3952,2176,399,9552,0.31668760469011725,0.4137353433835846,0.22780569514237856,0.0417713567839196,0.6415410385259631
Home & DIY,4385,12156,3300,541,20382,0.21514081051908546,0.5964085958198411,0.16190756549896967,0.026543028162103816,0.7583161613188107
Home Appliances,16823,30627,10331,1945,59726,0.28166962461909384,0.5127917489870408,0.17297324448313967,0.032565381910725645,0.6857649934701805
Kitchen Appliances,6044,10232,3324,766,20366,0.29676912501227537,0.5024059707355396,0.16321319846803495,0.03761170578415005,0.6656191692035746
Lighting,2613,12394,2873,409,18289,0.14287276505003008,0.6776751052545246,0.15708896057739624,0.0223631691180491,0.8347640658319209
Music,115,482,166,24,787,0.14612452350698857,0.6124523506988564,0.21092757306226176,0.030495552731893267,0.8233799237611181
Office Equipment,539,1160,275,65,2039,0.2643452672878862,0.5689063266307013,0.1348700343305542,0.03187837175085827,0.7037763609612555
Other,109,400,130,21,660,0.16515151515151516,0.6060606060606061,0.19696969696969696,0.031818181818181815,0.803030303030303
Personal Care,1695,3336,800,243,6074,0.2790582811985512,0.5492262100757326,0.1317089232795522,0.04000658544616398,0.6809351333552848
Phones & Tablets,1304,3517,2033,277,7131,0.18286355349880803,0.4931987098583649,0.28509325480297293,0.03884448183985416,0.7782919646613379
Photography,545,536,427,86,1594,0.34190715181932246,0.33626097867001253,0.2678795483061481,0.053952321204516936,0.6041405269761606
Toys & Games,877,2399,686,92,4054,0.2163295510606808,0.5917612234829798,0.1692155895411939,0.022693635915145536,0.7609768130241736
Wearables,1425,4078,1160,211,6874,0.20730288041897002,0.5932499272621472,0.16875181844631945,0.030695373872563284,0.7620017457084667
