country,End of life,Fixed,Repairable,Unknown,total,end_of_life_pct,fixed_pct,repairable_pct,unknown_pct,repaired_or_repairable
ARG,141.0,465.0,11.0,,617.0,0.22852512155591573,0.7536466774716369,0.017828200972447326,,0.7714748784440842
AUS,569.0,731.0,354.0,,1654.0,0.34401451027811364,0.4419588875453446,0.2140266021765417,,0.6559854897218863
AUT,169.0,289.0,81.0,3.0,542.0,0.3118081180811808,0.533210332103321,0.14944649446494465,0.005535055350553505,0.6826568265682657
BEL,5954.0,13402.0,5802.0,193.0,25351.0,0.23486253007770896,0.5286576466411581,0.22886671137233244,0.007613111908800442,0.7575243580134906
BEN,,6.0,3.0,,9.0,,0.6666666666666666,0.3333333333333333,,1.0
CAN,1247.0,2888.0,1253.0,2957.0,8345.0,0.1494307968843619,0.34607549430796886,0.15014979029358896,0.3543439185140803,0.4962252846015578
CHE,15.0,47.0,33.0,,95.0,0.15789473684210525,0.49473684210526314,0.3473684210526316,,0.8421052631578947
DEU,5520.0,13328.0,3913.0,595.0,23356.0,0.23634183935605413,0.5706456585031684,0.16753724952902893,0.025475252611748586,0.7381829080321973
DNK,4587.0,10718.0,324.0,1589.0,17218.0,0.26640724822859796,0.6224880938552677,0.018817516552445117,0.09228714136368917,0.6413056104077128
ESP,317.0,657.0,296.0,3.0,1273.0,0.24901806755695208,0.5161036920659858,0.23252160251374707,0.002356637863315004,0.7486252945797329
FIN,8.0,13.0,2.0,,23.0,0.34782608695652173,0.5652173913043478,0.08695652173913043,,0.6521739130434783
FRA,3309.0,6117.0,2612.0,20.0,12058.0,0.2744236191739924,0.507298059379665,0.21661967158732792,0.001658649859014762,0.7239177309669929
GBR,13104.0,29172.0,13643.0,1629.0,57548.0,0.22770556752623897,0.5069159658024606,0.2370716619170084,0.028306804754292068,0.7439876277194689
HKG,12.0,56.0,110.0,,178.0,0.06741573033707865,0.3146067415730337,0.6179775280898876,,0.9325842696629213
IRL,17.0,86.0,57.0,,160.0,0.10625,0.5375,0.35625,,0.89375
ISL,20.0,31.0,40.0,,91.0,0.21978021978021978,0.34065934065934067,0.43956043956043955,,0.7802197802197802
ISR,118.0,193.0,63.0,,374.0,0.3155080213903743,0.516042780748663,0.16844919786096257,,0.6844919786096256
ITA,399.0,1514.0,499.0,11.0,2423.0,0.16467189434585225,0.6248452331820058,0.20594304581097814,0.004539826661163846,0.8307882789929839
JEY,132.0,405.0,158.0,9.0,704.0,0.1875,0.5752840909090909,0.22443181818181818,0.01278409090909091,0.7997159090909091
KOR,2.0,8.0,12.0,,22.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,,0.9090909090909091
LUX,5.0,11.0,7.0,,23.0,0.21739130434782608,0.4782608695652174,0.30434782608695654,,0.782608695652174
NLD,14979.0,25362.0,6654.0,1.0,46996.0,0.3187292535534939,0.5396629500383011,0.14158651800153205,2.1278406672908333e-05,0.6812494680398332
NOR,226.0,1337.0,465.0,1.0,2029.0,0.11138491867915229,0.6589452932479054,0.22917693445046822,0.0004928536224741252,0.8881222276983736
NZL,1028.0,2223.0,1129.0,30.0,4410.0,0.2331065759637188,0.5040816326530613,0.2560090702947846,0.006802721088435374,0.7600907029478458
PRT,2.0,4.0,1.0,,7.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,,0.7142857142857143
SWE,90.0,405.0,216.0,25.0,736.0,0.12228260869565218,0.5502717391304348,0.29347826086956524,0.033967391304347824,0.84375
TUN,5.0,84.0,9.0,,98.0,0.05102040816326531,0.8571428571428571,0.09183673469387756,,0.9489795918367347
TWN,25.0,35.0,17.0,,77.0,0.3246753246753247,0.45454545454545453,0.22077922077922077,,0.6753246753246753
UGA,,18.0,11.0,,29.0,,0.6206896551724138,0.3793103448275862,,1.0
USA,261.0,1123.0,447.0,202.0,2033.0,0.12838170191834727,0.5523856369896705,0.21987211018199704,0.09936055090998525,0.7722577471716675
ZAF,5.0,3.0,4.0,,12.0,0.4166666666666667,0.25,0.3333333333333333,,0.5833333333333334
